N,G,Slot Efficiency,4,8,16,32
70.0,0.1,0.40053980819430257,,0.40625,0.3939393939393939,0.4014300306435138
70.0,0.37,0.3608996664482649,,0.35838779956427014,0.36425648021828105,0.3600547195622435
70.0,0.38,0.3608590632124294,,0.3565690593417984,0.3668514119820533,0.35915671831343665
70.0,0.39,0.3639559317871946,,0.3621550591327201,0.3674418604651163,0.36227087576374745
70.0,1.0,0.2734238463195769,,0.280462079357107,0.26906842053597724,0.2707410390656464
